m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
16,2,3,None,1.2039447747892704,1.954843095079226,False,OR
16,8,5,None,1.5658463619963832,2.923903081781313,False,AneqB
16,4,12,None,0.03669198166135512,0.00013200604244496163,True,NOR
16,2,14,None,0.6385314500640993,1.0066072672517263,True,OR
16,9,13,None,1.511593467962716,1.731399306057171,False,DoubleBandpass
16,9,1,None,1.5562349756884815,1.9591020355926811,False,DoubleBandpass
16,4,4,None,0.45016835623654616,0.05047233746215198,True,NOR
16,8,12,None,1.928341097349854,3.377890987637541,False,AneqB
16,10,2,None,2.1679372760346953,5.291836444741406,False,ratio
16,10,13,None,1.8933553129340166,3.904442121963101,False,ratio
16,7,12,None,2.0,1.3386777882340724,False,AeqB
16,0,9,None,1.977609215791582,2.4134623948382012,False,AND
16,10,9,None,1.5153006231529587,2.68031167749603,False,ratio
16,6,1,None,1.1400308439787805,0.3985174044130512,False,ANOTB
16,0,5,None,1.6042176275492857,5.5954633287296565,False,AND
16,5,10,None,1.162386077992629,9.333046050373431,False,XNOR
16,1,6,None,1.7015212539408182,5.012300408895163,False,NAND
16,1,9,None,1.6376000646337165,6.908712369470092,False,NAND
16,8,8,None,1.8863941963607667,3.4970026655371194,False,AneqB
16,3,12,None,1.3639860312566325,8.053269826832446,False,XOR
16,4,6,None,0.5763844355715402,0.7436008616260943,True,NOR
16,3,1,None,1.1990397808076558,9.546045745829263,False,XOR
16,4,0,None,0.12726783533945918,0.004288744139781795,True,NOR
16,0,0,None,1.5020270245601537,2.6644087095383413,False,AND
16,4,2,None,0.732436786267928,0.2846745660705719,True,NOR
16,6,2,None,1.5005162096992342,1.8791386535548422,False,ANOTB
16,2,8,None,0.9195495181170417,0.23389023757967775,True,OR
16,10,12,None,1.4807784478707517,2.6860067154676996,False,ratio
16,7,4,None,2.0,1.6082498783384678,False,AeqB
16,2,5,None,0.7414955270332113,0.6568485992213533,True,OR
16,3,6,None,1.2210094230182313,10.029144223948213,False,XOR
16,2,0,None,0.8201760244534511,0.6514830051082359,True,OR
16,2,11,None,1.1381398728588379,0.9784560063609896,False,OR
16,0,2,None,1.9125369834479446,2.1808805417542394,False,AND
16,10,8,None,1.6175666742191113,3.9940750512069427,False,ratio
16,7,1,None,0.9340132722264816,0.30748554766413494,True,AeqB
16,1,12,None,1.7467727741890013,2.189396107243113,False,NAND
16,10,7,None,1.4451397191797877,3.2656700631990945,False,ratio
16,8,2,None,1.8575610887739957,3.5098558788474477,False,AneqB
16,1,13,None,0.960133141647042,0.1851665039539989,True,NAND
16,1,11,None,2.0,2.507810325054445,False,NAND
16,9,8,None,2.0,2.1143266176080284,False,DoubleBandpass
16,4,10,None,0.48756706958390295,0.1322347355017986,True,NOR
16,6,9,None,0.5857220837286494,0.25181991845035395,True,ANOTB
16,10,4,None,1.462139373021739,2.9198777789578423,False,ratio
16,4,1,None,0.3526949694226946,0.05023506645230591,True,NOR
16,7,11,None,1.9980578340859347,1.0452761737791494,False,AeqB
16,0,7,None,1.8651506733944099,1.8626142405350974,False,AND
16,5,2,None,1.2410553961667743,9.254345774419724,False,XNOR
16,6,12,None,1.6649197341251794,1.8283398287902983,False,ANOTB
16,4,15,None,0.6573220428574551,0.10185222632065337,True,NOR
16,7,5,None,2.0,0.5425346670068137,False,AeqB
16,4,14,None,0.5438824885964522,0.15207993048171844,True,NOR
16,9,12,None,2.0,2.089118711052177,False,DoubleBandpass
16,0,1,None,2.0,3.403712500538996,False,AND
16,5,5,None,2.0,10.769082190145285,False,XNOR
16,9,2,None,1.4938882796270154,2.034932278309826,False,DoubleBandpass
16,9,9,None,1.341744505845217,1.8567927624161304,False,DoubleBandpass
16,4,5,None,1.3635104548112196,0.33498026737242514,False,NOR
16,5,12,None,2.0,8.9872246880832,False,XNOR
16,4,8,None,0.35181731289304485,0.0367458489021821,True,NOR
16,2,16,None,0.9008004846086761,0.8582365501640113,True,OR
16,0,14,None,1.3429058935511864,2.1040391410485113,False,AND
16,4,16,None,0.9740864041192903,0.5026424419769159,True,NOR
16,7,9,None,2.0,1.6666666685098093,False,AeqB
16,5,8,None,2.0,9.078667018730481,False,XNOR
16,6,4,None,0.5687700245114753,0.052606075266173245,True,ANOTB
16,8,14,None,1.8491580746998864,3.5019603017667627,False,AneqB
16,1,16,None,1.7806529287226263,2.5735963149889467,False,NAND
16,0,16,None,1.285087758891466,1.4887560935856043,False,AND
16,8,13,None,1.8478503129510473,3.384971655480195,False,AneqB
16,8,7,None,1.7697244402178438,3.555686930356097,False,AneqB
16,9,14,None,1.5387079466516749,2.078222087240485,False,DoubleBandpass
16,7,6,None,2.0,1.6666666667146737,False,AeqB
16,5,3,None,1.4503209326927942,8.574588409120844,False,XNOR
16,0,6,None,1.7629825234682,1.6730056187251643,False,AND
