m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
8,8,40,34,1.9010509920555547,4.977327937027326,False,AneqB
8,5,80,26,2.0,15.835148650426829,False,XNOR
8,3,85,2,2.0,13.097168567800585,False,XOR
8,4,14,31,1.171843388745411,1.212190201028874,False,NOR
8,5,2,9,2.0,23.643375495406087,False,XNOR
8,2,3,26,1.4417362929991109,8.435898992664326,False,OR
8,10,30,0,3.695461106356329,23.76380258380478,False,ratio
8,3,73,18,1.0848755125371574,11.991684364520784,False,XOR
8,0,29,8,4.153519609960416,20.390975278851673,False,AND
8,3,22,14,2.0,12.117783946100133,False,XOR
8,5,64,9,2.0,19.891139272173984,False,XNOR
8,0,31,21,2.0,8.461209626492481,False,AND
8,10,7,28,3.437545279400145,40.045519408115375,False,ratio
8,2,30,30,2.0,13.285282476066177,False,OR
8,2,49,15,1.0240998603730325,7.190229234935759,False,OR
8,8,54,35,2.0,44.0,False,AneqB
8,3,70,26,1.2620797012218827,11.483376218706525,False,XOR
8,1,30,21,2.0,9.609776474403917,False,NAND
8,3,74,18,2.0,24.0,False,XOR
8,7,65,32,2.0,1.9774381505047505,False,AeqB
8,2,83,21,2.0,11.642156333359956,False,OR
8,6,51,11,2.0,12.0,False,ANOTB
8,2,81,13,2.0,3.572959538573484,False,OR
8,3,99,28,1.0044461059517082,11.998703231410945,False,XOR
8,5,37,24,1.0346310620277035,11.994650220064036,False,XNOR
8,6,16,10,2.0,12.0,False,ANOTB
8,1,68,35,2.0,9.293679059581446,False,NAND
8,3,69,14,2.0,15.541173317962015,False,XOR
8,6,26,12,2.0,12.0,False,ANOTB
8,4,5,21,1.3300773971305473,4.282277346796796,False,NOR
8,6,37,10,2.0,12.0,False,ANOTB
8,3,38,23,2.0,13.017318897167165,False,XOR
8,0,25,28,1.750332297894722,6.889758758851067,False,AND
8,5,94,32,1.0004896278394715,12.000000345990879,False,XNOR
8,9,98,27,1.807336855597927,2.685813036314037,False,DoubleBandpass
8,0,92,34,1.6397860818788383,8.488778100575088,False,AND
8,2,21,2,2.0,9.208714283933283,False,OR
8,4,5,1,2.4609243050319516,12.968072939455043,False,NOR
8,5,85,12,2.0,20.1796472674371,False,XNOR
8,0,35,6,2.0,9.31120380915682,False,AND
8,7,20,29,1.9007823006554556,1.8929059425759345,False,AeqB
8,10,4,10,3.9603960396039604,61.859752947299135,False,ratio
8,6,39,11,2.0,12.0,False,ANOTB
8,9,30,14,2.0,3.0,False,DoubleBandpass
8,5,86,1,2.0,24.0,False,XNOR
8,1,18,35,2.0,9.181738120012058,False,NAND
8,1,9,32,1.6230523010674467,8.516794853606163,False,NAND
8,3,6,22,1.1422443022476627,12.022480942344474,False,XOR
8,1,90,9,2.0,33.46244318481905,False,NAND
8,1,30,2,2.0,36.0,False,NAND
8,9,95,5,1.7399593497669854,2.5955670390038255,False,DoubleBandpass
8,4,6,2,2.0,12.0,False,NOR
8,4,40,22,1.1792646018869606,6.0953940292987125,False,NOR
8,4,11,2,2.0,12.0,False,NOR
8,6,33,7,1.3879211156432896,8.179088127644404,False,ANOTB
8,7,49,16,2.0,2.0,False,AeqB
8,3,11,35,2.0,15.412648840704763,False,XOR
8,1,70,0,5.614907417397843,68.2318589011946,False,NAND
8,3,37,16,2.0,24.0,False,XOR
8,10,91,9,3.9603960396039604,61.6109265061252,False,ratio
8,6,83,24,1.7099328044751605,6.369857909101597,False,ANOTB
8,8,66,9,2.0,32.16067853652209,False,AneqB
8,0,29,24,1.5062175150701127,9.006989043123353,False,AND
8,1,23,11,2.0,36.0,False,NAND
8,3,64,8,2.0,22.89184345181589,False,XOR
8,2,98,15,1.5516837945049105,5.88733017826632,False,OR
8,7,5,7,2.0,1.7974898880863666,False,AeqB
8,8,18,3,3.1392898359322956,18.645787026222894,False,AneqB
8,8,20,34,2.0,10.969317308645337,False,AneqB
8,0,71,2,1.0457066102007646,5.998318342211398,False,AND
8,0,0,15,1.6370545977279538,7.568858165494369,False,AND
8,2,65,13,2.0,19.51990370568379,False,OR
8,4,55,9,2.0,12.0,False,NOR
8,5,39,8,2.0,23.233607480828052,False,XNOR
8,9,87,26,1.6582583466139846,2.4686538251598784,False,DoubleBandpass
8,2,78,24,2.0,36.0,False,OR
8,10,63,12,3.9603960396039604,36.28625152866423,False,ratio
8,6,5,20,2.0,12.0,False,ANOTB
8,9,21,31,1.8613556314600133,2.7727417647670634,False,DoubleBandpass
8,7,71,26,2.0,2.0,False,AeqB
8,4,57,18,2.0,12.0,False,NOR
8,1,57,33,2.0,36.0,False,NAND
8,0,98,17,1.4970217941581536,8.995670447106752,False,AND
8,9,36,9,2.0,3.0,False,DoubleBandpass
8,6,70,29,1.519993051202205,8.94774046346948,False,ANOTB
8,10,49,8,3.9603960396039604,61.19713724358826,False,ratio
8,6,98,0,3.4250686406601574,16.138797841822488,False,ANOTB
8,3,1,12,2.0,24.0,False,XOR
8,3,48,3,2.0,19.390082362422948,False,XOR
8,3,82,7,2.0,12.641403523468952,False,XOR
8,1,94,32,1.5125458999802814,8.959316761643244,False,NAND
8,5,27,10,2.0,24.0,False,XNOR
8,5,99,14,2.0,13.060972532627533,False,XNOR
8,9,97,25,1.858235191068991,2.778147930035154,False,DoubleBandpass
8,0,10,6,2.0,7.543781261729297,False,AND
8,2,60,0,2.090851884175361,26.361385433451105,False,OR
8,8,21,29,1.8677211026026876,3.656707798276177,False,AneqB
8,6,24,26,1.645583846331868,3.374175487265673,False,ANOTB
8,8,46,26,1.8334436625149775,3.666666689115079,False,AneqB
8,10,34,34,3.9603960396039604,32.142833235188256,False,ratio
8,0,79,10,2.0,9.633961857921918,False,AND
8,7,88,23,2.0,2.0,False,AeqB
8,3,2,2,2.0,19.563300934910902,False,XOR
8,1,85,2,2.0,18.043560456102856,False,NAND
8,3,39,24,1.0021613742783688,11.998541493620728,False,XOR
8,8,79,35,2.0,29.35061935508951,False,AneqB
8,7,69,27,2.0,1.962803091828215,False,AeqB
8,7,42,27,1.9120084926455814,1.9080151072561424,False,AeqB
8,0,98,4,2.0,12.0,False,AND
8,7,3,21,1.919229445850899,1.904692625664831,False,AeqB
8,1,91,3,2.0,17.064281142505457,False,NAND
8,3,44,8,2.0,22.99704796329861,False,XOR
8,2,85,31,1.7420655227746846,27.429445357161722,False,OR
8,3,61,27,2.0,13.029370199935622,False,XOR
8,2,28,35,2.0,13.843050811310585,False,OR
8,2,95,19,2.0,16.00271952418591,False,OR
8,10,92,3,3.368756531744284,29.63887435079488,False,ratio
8,6,8,20,2.0,12.0,False,ANOTB
8,9,48,13,2.0,3.0,False,DoubleBandpass
8,10,61,26,3.9603960396039604,32.089218939367505,False,ratio
8,4,97,17,1.1729012590783943,3.5611376085267463,False,NOR
8,5,86,19,2.0,13.305510176936354,False,XNOR
8,9,95,17,1.8216312226574747,2.7069127342565884,False,DoubleBandpass
8,6,36,25,2.0,9.96858706283732,False,ANOTB
8,1,53,6,2.5767765167600913,29.594786591678588,False,NAND
8,5,0,35,2.0,16.45820411436815,False,XNOR
8,1,91,13,2.0,36.0,False,NAND
8,4,76,10,2.0,12.0,False,NOR
8,5,4,22,2.0,12.996268386567555,False,XNOR
8,7,84,10,2.0,2.0,False,AeqB
8,7,92,25,1.8548884266917907,1.8484256669048857,False,AeqB
8,1,84,16,2.0,36.0,False,NAND
8,6,77,1,2.0,12.0,False,ANOTB
8,4,83,27,1.289635178315272,6.954639506290575,False,NOR
8,4,5,17,1.0863231383714524,3.256587339868577,False,NOR
8,3,29,17,1.4516474516558127,12.217362112666196,False,XOR
8,7,11,5,2.0,2.0,False,AeqB
8,0,25,27,1.608347604355453,9.121285202080555,False,AND
8,1,24,9,2.0,35.108794911584845,False,NAND
8,10,9,25,3.9603960396039604,62.34003023183917,False,ratio
8,7,96,27,1.889951616595566,1.773716596582375,False,AeqB
8,8,53,31,1.8351619586517738,3.6667002146583436,False,AneqB
8,4,63,14,2.0,12.0,False,NOR
8,7,86,0,2.0,1.7001782391066527,False,AeqB
8,1,69,22,1.600040829901988,8.425714588867452,False,NAND
8,2,12,15,2.0,13.047030252612132,False,OR
8,2,88,7,2.0,4.432487667724311,False,OR
8,5,9,17,1.3163217726726129,11.910282537859763,False,XNOR
8,3,42,30,2.0,13.849013217727546,False,XOR
8,1,1,20,2.0,36.0,False,NAND
8,7,60,18,2.0,1.666666905439761,False,AeqB
8,2,35,26,1.3839052048423346,9.372327597957252,False,OR
8,3,94,19,1.2239215901017189,11.673672739052408,False,XOR
8,4,5,19,0.558434219440118,0.9066467798837073,True,NOR
8,2,24,29,1.3052270997999171,0.5050571322165601,False,OR
